T_subtype,Cytotoxicity score
Treg,-0.522787984506583
gdT,0.894297888249526
gdT,0.0196025033055999
Naive/CM T,0.292566882239447
Naive/CM T,-0.10551138130235
Naive/CM T,-0.0518033121838981
Cytotoxic CD8T,0.271862118332474
Naive/CM T,-0.928099699962286
Naive/CM T,0.0987173951702353
Naive/CM T,0.908560958909399
Naive/CM T,-0.869992482073513
Naive/CM T,-1.03280776886292
gdT,0.970862983185568
Naive/CM T,0.850839619283323
Naive/CM T,0.724678640012387
gdT,1.46546539848233
Naive/CM T,-0.380943224753862
gdT,1.86921106444464
gdT,0.191330706631695
Naive/CM T,0.539056571913354
gdT,1.09857210700894
Naive/CM T,0.161307031725659
Naive/CM T,-0.0417124297883775
Naive/CM T,0.688429964913262
Cytotoxic CD8T,1.75870677865581
Naive/CM T,0.551086552349137
Naive/CM T,-0.0621808414106015
gdT,0.46545241497181
Naive/CM T,-0.7962502774633
Naive/CM T,-0.313661535580952
Naive/CM T,0.645510586691491
gdT,0.778754867153403
gdT,0.332517255971461
Naive/CM T,-0.456855807775332
Naive/CM T,-0.158985919422573
Naive/CM T,-0.387649734814961
Naive/CM T,-0.316844722371042
Cytotoxic CD8T,0.0931777159372964
Naive/CM T,-0.658566464612513
Naive/CM T,-0.802494465568919
Cytotoxic CD8T,0.756553488013185
Naive/CM T,0.00115705125125842
Proliferating CD8T,1.41951164787198
Naive/CM T,0.84558770980364
Cytotoxic CD8T,1.38736349859355
Naive/CM T,1.15194990605483
Naive/CM T,-0.463582278769693
Cytotoxic CD8T,0.966650400632693
Naive/CM T,-0.291099224561526
Naive/CM T,-0.0224015065181402
Naive/CM T,0.329595121336572
Naive/CM T,-0.636664549509684
Cytotoxic CD8T,-0.708117933552942
Naive/CM T,-0.690856478832386
Naive/CM T,-0.492649169615757
gdT,1.02432550324334
Naive/CM T,-0.607434253633758
Naive/CM T,-0.761300502000031
Naive/CM T,-1.53135546489998
Naive/CM T,-1.56572383127094
Naive/CM T,-0.863662318682964
Naive/CM T,0.159885566911579
Cytotoxic CD8T,0.405697934421492
Naive/CM T,-0.479092924683182
Naive/CM T,0.20333390471376
Naive/CM T,-0.440073569615681
gdT,0.828093019532568
Naive/CM T,0.316291005523116
Naive/CM T,-0.418584627869688
Cytotoxic CD8T,-0.282004943600407
Naive/CM T,-0.920117451820844
Cytotoxic CD8T,0.347007989883422
Naive/CM T,-0.241778360472785
Naive/CM T,0.118516492254939
Naive/CM T,0.368255131038618
Naive/CM T,0.275723268956313
Naive/CM T,-0.411324945496924
Naive/CM T,-0.297324595627961
gdT,-0.279253568178341
Naive/CM T,0.101090286984855
Naive/CM T,-0.326450365561026
gdT,0.047027211130401
Cytotoxic CD8T,-0.457955189693121
Naive/CM T,0.0361445980307497
Naive/CM T,-0.345804706031893
Naive/CM T,-0.553683030752488
Naive/CM T,-0.68817749288347
Naive/CM T,0.096811353424449
Naive/CM T,-0.818124349470491
Naive/CM T,0.286295522878199
Naive/CM T,-0.305946944672384
gdT,-0.232325665744734
Naive/CM T,-1.323814475242
Cytotoxic CD8T,-0.698235126189243
Naive/CM T,0.0200204569616435
Naive/CM T,0.0514838563071357
Naive/CM T,-0.645619276129169
Cytotoxic CD8T,-0.967192436441963
gdT,-0.300837472633079
Cytotoxic CD8T,-1.300768846347
gdT,-0.264294337343286
Cytotoxic CD8T,0.18144037105419
Naive/CM T,-0.131418251696928
Naive/CM T,0.0639091318036302
Cytotoxic CD8T,-0.118745983382801
Naive/CM T,-0.29666178609118
Naive/CM T,-0.0425518765861605
Cytotoxic CD8T,0.60569926544472
Naive/CM T,0.126318295796712
Naive/CM T,-0.457839053354145
Naive/CM T,-0.213754194754141
Naive/CM T,-0.16065001046216
Naive/CM T,-1.02787769135133
Treg,-0.249493601881427
gdT,0.272169342747441
Naive/CM T,-0.769592344025035
Naive/CM T,-0.452397384761292
Cytotoxic CD8T,0.965551120263558
Naive/CM T,-0.358513671674846
Naive/CM T,-1.009143754288
Naive/CM T,-0.907372718975867
Naive/CM T,-1.13211431768205
Naive/CM T,-0.654177561954215
Naive/CM T,1.28692572499498
Naive/CM T,0.207732965916763
Naive/CM T,-0.620909287605756
Cytotoxic CD8T,-0.766296404379385
Naive/CM T,-0.477437608035994
Naive/CM T,1.01330774507404
Naive/CM T,0.316794430768048
gdT,-0.203504020785108
Cytotoxic CD8T,-0.644602830027356
Naive/CM T,-0.104594610355518
Naive/CM T,-0.636402914553512
Naive/CM T,-0.88617228872982
Naive/CM T,-0.420030899989752
Naive/CM T,0.256984935866461
Naive/CM T,-1.06168641278773
Naive/CM T,-0.493913862440321
Naive/CM T,-0.264585988021191
Cytotoxic CD8T,-0.197660940664786
Cytotoxic CD8T,-1.16765302198904
Cytotoxic CD8T,-0.503329519872312
Naive/CM T,-1.12285007370842
Naive/CM T,-1.12910008577652
Naive/CM T,-0.618274359055507
Naive/CM T,-0.753280201075989
Naive/CM T,0.131464990568749
Naive/CM T,-0.882917590347337
Naive/CM T,-0.253736282572334
Naive/CM T,-0.821990949136239
gdT,-0.973234902193516
Naive/CM T,-0.616256255426524
Naive/CM T,-0.708330634199542
Naive/CM T,-0.390993305194525
Cytotoxic CD8T,-0.325807171103394
Naive/CM T,-0.381985630518124
Naive/CM T,-0.754632350839214
Cytotoxic CD8T,-0.4666325972404
Treg,-0.603924489315645
Proliferating CD8T,-0.139574545401114
Cytotoxic CD8T,-0.678472777943552
gdT,0.584026525050033
Naive/CM T,-0.505694184774234
Naive/CM T,-0.135130090478025
Naive/CM T,0.259643728350415
Cytotoxic CD8T,-0.539163571816903
Naive/CM T,0.446527043978373
Treg,-0.573208226097954
Naive/CM T,-0.438495242301328
Naive/CM T,-0.0494515939995094
Naive/CM T,-0.641818644087991
Cytotoxic CD8T,-1.11929738153646
Cytotoxic CD8T,-0.254657449545683
Naive/CM T,-0.249182623109699
Naive/CM T,-0.0764391878504811
Naive/CM T,0.260052923802976
Naive/CM T,-0.34420922950462
Naive/CM T,-0.445740052211431
gdT,1.16659875563633
Naive/CM T,0.0802811516655817
gdT,0.134471348774285
gdT,0.357839613784978
Naive/CM T,-0.0738932291666665
Naive/CM T,0.506431804762946
Naive/CM T,1.1214723204389
Naive/CM T,-0.424824699943448
Cytotoxic CD8T,1.2231589835367
Naive/CM T,0.694765441211653
Naive/CM T,0.0446432210780955
Naive/CM T,-0.546052110047988
gdT,1.09424376782075
Naive/CM T,-0.240843575677753
Cytotoxic CD8T,0.988122519151664
Cytotoxic CD8T,2.1149630340529
Cytotoxic CD8T,0.98083985293353
gdT,0.46904648380515
gdT,0.899995671378241
gdT,1.16212436004921
gdT,-0.301824623419914
Naive/CM T,-0.167307977323178
Naive/CM T,0.02017538782991
Naive/CM T,1.17439653255321
Naive/CM T,0.494303379529788
Naive/CM T,-0.812924962720753
Cytotoxic CD8T,1.1065496691951
Naive/CM T,0.0567864753581859
