source,neighbor,obs,exp_perm,log2_oe,z,p,q,significant,low_expected,sample
T,B,147,46.2732,1.64650274435951,15.3892501269366,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
T,T,182,33.5662,2.40440973228947,19.0854514880084,0.0003999200159968,0.000477953189849834,True,False,Patient3_DX
Endothelial,Endothelial,13211,3086.6598,2.0972631651685,152.745689644137,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Endothelial,Fibroblast,3812,5282.9984,-0.470703498671277,-22.990263351168,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Endothelial,Schwann,220,232.874,-0.0816851151775181,-0.851931921034915,0.408318336332733,0.444613299562309,False,False,Patient3_PT
Endothelial,Neuroblast,1389,7777.5006,-2.48440720215726,-88.4650512774824,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Endothelial,Macrophage,4790,6716.7054,-0.487641715165769,-27.5901842452013,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Endothelial,B,76,96.9024,-0.346485780984229,-2.17856675861664,0.0295940811837632,0.0371823071283179,True,False,Patient3_PT
Endothelial,T,370,674.3594,-0.864236265849579,-12.1909021514369,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Fibroblast,Endothelial,4864,5283.142,-0.119229431438906,-6.25998752856373,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Fibroblast,Fibroblast,17050,9044.7634,0.914542185711617,78.1005211315234,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Fibroblast,Schwann,452,399.017,0.179449737035169,2.7403704792758,0.00879824035192961,0.0113450994011723,True,False,Patient3_PT
Fibroblast,Neuroblast,3624,13312.257,-1.87681065995994,-102.251683122379,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Fibroblast,Macrophage,13219,11500.554,0.200893376838608,18.8802076947706,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Fibroblast,B,187,165.8658,0.172044364639867,1.71949314765352,0.10117976404719,0.118043058055055,False,False,Patient3_PT
Fibroblast,T,1464,1154.4008,0.342507265933848,9.55234764530106,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Schwann,Endothelial,258,232.8676,0.147260093241938,1.76980977899054,0.0843831233753249,0.100848123058315,False,False,Patient3_PT
Schwann,Fibroblast,434,399.0032,0.121003859447204,1.96511656434078,0.0543891221755648,0.0666266746650669,False,False,Patient3_PT
Schwann,Schwann,73,17.3612,2.0108649212777,10.1193683474811,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Schwann,Neuroblast,517,586.0068,-0.180425117977936,-3.48193765503386,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Schwann,Macrophage,482,506.5878,-0.0716342049977617,-1.30519397440811,0.207958408318336,0.236975860641825,False,False,Patient3_PT
Schwann,B,5,7.3222,-0.47200245907957,-0.890602475155783,0.504699060187962,0.537614216287177,False,False,Patient3_PT
Schwann,T,31,50.8512,-0.6963054728172,-2.85608205018081,0.003999200159968,0.00529623804968736,True,False,Patient3_PT
Neuroblast,Endothelial,1714,7775.9762,-2.18100074729143,-74.9752394556632,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Neuroblast,Fibroblast,2990,13313.1846,-2.1542642607775,-101.967550487542,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Neuroblast,Schwann,482,586.277,-0.282017948458102,-4.57839449842339,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Neuroblast,Neuroblast,47948,19590.5834,1.29126672590507,203.015454602054,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Neuroblast,Macrophage,6605,16928.677,-1.35770557369278,-92.814042676211,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Neuroblast,B,42,244.5888,-2.51383620362723,-13.6996162636669,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Neuroblast,T,357,1698.713,-2.24725967233042,-34.6912853214587,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Macrophage,Endothelial,6213,6718.19,-0.112765084785833,-6.90939485402949,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Macrophage,Fibroblast,12812,11500.0456,0.155843276264892,13.9955046930504,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Macrophage,Schwann,496,506.4146,-0.0299191793300237,-0.491732246153148,0.653869226154769,0.681693448544333,False,False,Patient3_PT
Macrophage,Neuroblast,7767,16927.235,-1.12381645451745,-84.0571290973626,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Macrophage,Macrophage,22384,14623.485,0.614146497034511,62.2694631189168,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Macrophage,B,310,211.1202,0.552032566502125,7.22460217461078,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
Macrophage,T,1972,1467.5096,0.426038259123853,13.7849923317025,0.0003999200159968,0.00055988802239552,True,False,Patient3_PT
B,Endothelial,95,97.0182,-0.0300152475970253,-0.21966163533599,0.889022195560887,0.889022195560887,False,False,Patient3_PT
B,Fibroblast,176,165.6832,0.0866406578920621,0.909458050548454,0.389522095580883,0.433785970078711,False,False,Patient3_PT
