id,umap1,umap2,T_subtype
2183_Patient1_0DPHBP,0.9405414,-0.57633066,gdT
2185_Patient1_0DPHBP,8.023877,1.4996439,Naive/CM T
2192_Patient1_0DPHBP,-2.0813031,3.610782,Cytotoxic T
2195_Patient1_0DPHBP,3.8635757,6.5372024,Naive/CM T
2197_Patient1_0DPHBP,2.1422489,5.71935,Treg
2198_Patient1_0DPHBP,5.6406713,1.8610576,Naive/CM T
2199_Patient1_0DPHBP,3.243409,7.744662,Naive/CM T
2205_Patient1_0DPHBP,3.3221443,-0.74108887,Naive/CM T
2210_Patient1_0DPHBP,5.0429378,1.8326945,Naive/CM T
2212_Patient1_0DPHBP,4.9746733,0.44733155,Naive/CM T
2213_Patient1_0DPHBP,4.667947,0.23274888,Naive/CM T
2219_Patient1_0DPHBP,4.337848,2.1658144,Cytotoxic T
2220_Patient1_0DPHBP,2.8242145,6.490353,Naive/CM T
2225_Patient1_0DPHBP,1.5979656,6.0128713,gdT
2228_Patient1_0DPHBP,4.643658,2.6635118,Naive/CM T
2235_Patient1_0DPHBP,1.1325946,4.258895,gdT
2236_Patient1_0DPHBP,5.442942,1.4859031,Naive/CM T
2237_Patient1_0DPHBP,-0.32450032,4.377665,gdT
2239_Patient1_0DPHBP,1.903574,5.3978953,Naive/CM T
2241_Patient1_0DPHBP,2.2842648,1.4016904,gdT
2242_Patient1_0DPHBP,2.4196243,0.7815383,Cytotoxic T
2245_Patient1_0DPHBP,5.5678596,2.0869386,Naive/CM T
2247_Patient1_0DPHBP,5.4305553,1.4852319,Naive/CM T
2248_Patient1_0DPHBP,4.8026676,2.9544683,Naive/CM T
2250_Patient1_0DPHBP,-0.9707794,5.2781363,gdT
2251_Patient1_0DPHBP,6.5885997,1.9707612,Naive/CM T
2257_Patient1_0DPHBP,5.4793506,4.6574006,Naive/CM T
2258_Patient1_0DPHBP,5.184213,2.4826946,Naive/CM T
2259_Patient1_0DPHBP,2.4908874,6.4449754,Naive/CM T
2265_Patient1_0DPHBP,5.4111648,1.9333748,Naive/CM T
2266_Patient1_0DPHBP,0.8257561,4.5533767,gdT
